MT-TF	TrnF,RF00005,TRNF,TRNA,MTTF
MEX3A	RNF162,RKHD4,MEX-3A
C4orf54	FOPV,LOC285556
MARK2	Par1b,PAR-1,EMK1,PAR-1B,Par-1b,EMK-1
UGT2B17	UDPGT2B17,BMND12
UICLM	CROCC2-AS1,NONHSAG031002.2,Lnc-C2orf54-1,HSALNG0023629,HSALNG0023630,HSALNG0023633
CYP4X1	MGC40051,CYPIVX1
TTC21B-AS1	NONHSAG029723.2,HSALNG0020157,HSALNG0020150,HSALNG0020158,HSALNG0020154,TTC21B-AS1
MIR3678	Hsa-Mir-3678,MIMAT0018103,MIMAT0018102,MI0016079,Mir-3678
RNU6-938P	--
NUDT19	RP2,CTC-379B2.4
THSD8	--
CYP4Z1	CYP4A20,CYPIVZ1
MEX3D	RNF193,OK/SW-Cl.4,KIAA2031,RKHD1,Tino,TINO,MEX-3D,MEX3
RN7SKP152	--
C17orf75	NJMU-R1,SRI2
GPATCH11	CENP-Y,CCDC75,CENPY,FLJ38348
VSIG10L	--
TUBAP9	--
CYP4A22-AS1	NcRNA-A3,NONHSAG001360.2,Lnc-PDZK1IP1-1,HSALNG0003376,CYP4A22-AS1
KCNJ8	UKATP-1,Kir6.1,KIR6.1
CYP4A22	CYPIVA22
TACC3	ERIC-1,ERIC1,Maskin,Tacc4
DPF1	NEUD4,Neuro-D4,BAF45b,BAF45B
OAS1	OIASI,IFI-4,OIAS,E18/E16
GP9	GPIX,CD42a,GP-IX
RAB43	RAB41,RAB11B,ISY1
WNT10A	STHAG4,OODD,SSPS
LINC01494	NONHSAG030548.2,HSALNG0022311,LINC01494
RNU6-642P	--
MTND1P34	--
LINC00853	NcRNA-A4,PDZK1IP1-AS1,NONHSAG001365.2,HSALNG0003381,LINC00853
KRT8P30	--
PDZK1IP1	MAP17,DD96,SPAP
CDK5R2	NCK5AI,P39,P39nck5ai,P39I
LINC00608	NONHSAG030554.2,HSALNG0022320,LINC00608
ISY1-RAB43	ISY1
TAL1	BHLHa17,SCL,TCL5,BHLHA17,Tal-1,TAL-1
FEV	Pet-1,HSRNAFEV,PET-1,PET1
OOSP1P2	--
MIR632	Hsa-Mir-632,Hsa-MiR-632,MIRN632,MIMAT0003302,MI0003647,RF01010
CRYBA2	CTRCT42
ISY1	KIAA1160,FSAP33
LINC01389	NONHSAG001373.2,HSALNG0003395,LINC01389
FOXE3	FREAC8,FKHL12,FREAC-8,CTRCT34,AAT11,ASGD2
RPL19	L19,DKFZp779D216,FLJ27452,MGC71997
FOXD2-AS1	MGC12982,NONHSAG001375.2,HSALNG0003395,FOXD2-AS1
NCF2	NOXA2,P67phox,P67PHOX,NCF-2,P67-PHOX,P67-Phox
MIR375	Hsa-Mir-375,Hsa-MiR-375,MIRN375,MIMAT0037313,MIMAT0000728,MI0000783,MiRNA375,Mir-375,RF00700
LRRC66	--
CFAP65	CCDC108,DKFZp434O0527,MGC35338,SPGF40
ODAM	FLJ20513,APin,APIN,Apin
CD55	CR,CROM,DAF,TC,CHAPLE
LIMD1-AS1	NONHSAG034935.2,HSALNG0025628,LIMD1-AS1
SACM1L	SAC1,KIAA0851
PPM1N	FLJ40125
EIF4EP2	--
LINC02075	NONHSAG022131.2,LINC02075
PHB	PHB1,HEL-S-54e,HEL-215
CERS1	LAG1,UOG1,LASS1,GDF-1,CerS1,EPM8,GDF1
DDX60L	FLJ31033
OAS3	P100OAS,P100
ERFL	Erfl1
CGB8	CG-Beta,CGB
IHH	HHG2,BDA1,HHG-2
MIR3131	Hsa-Mir-3131,MIMAT0014996,MI0014151,Mir-3131
ZNF415	Pact,ZfLp
RN7SL764P	--
SLC23A3	SVCT3,Yspl1,FLJ31168,E2BP3
SPNS2	SLC63A2,DFNB115,SLC62A2
RN7SL145P	--
SLC6A20	SIT1,XT3,Xtrp3,IMINO,XTRP3
CXCL13	BCA-1,BLC,ANGIE2,SCYB13,BLR1L,ANGIE,BCA1,Angie
DIO1	TXDI1,DIOI,5DI,ITDI1
KCNA7	HAK6,Kv1.7,KV1.7
TRIML2	SPRYD6,FLJ25801
UNC13A	Munc13-1,KIAA1032
CNPPD1	C2orf24,CGI-57
MYBBP1A	P160,PAP2,Pol5,FLJ37886
OAS2	--
NSG1	NEEP21,D4S234E,P21,D4S234
TM7SF2	ANG1,DHCR14A,NET47,Delta-14-SR,C14SR
SDHDP4	--
FYCO1	ZFYVE7,FLJ13335,CTRCT18,CATC2,RUFY3
RETREG2	C2orf17,FAM134A,MAG-2,MGC3035,MAG2
VHLL	VLP,VHLP
LRRC52	FLJ25811
PKP1	B6P,Plakophilin-1,EDSFS
C12orf43	Custos,FLJ12448
CYP4F11	CYPIVF11
ADD1	Alpha-Adducin,ADDA
GGT6	FLJ90165
ZFAND2B	AIRAPL
CXCR6	TYMSTR,STRL33,BONZO,CD186,CDw186,CXC-R6,CXCR-6
NRBF2P2	--
TXNP4	--
RNU6-488P	--
VN1R1	V1RL1,VNR19I1,ZVNR1,ZVNH1,HGPCR24
SMTNL2	FLJ42461
ANGPTL6	ARP5,AGF
PROS1	PROS,THPH5,THPH6,PS21,PS22,PS23,PS24,PS25,PSA
LINC01996	NONHSAG020580.2,HSALNG0114028,LINC01996
RNU6-955P	--
IGSF3	EWI-3,V8,MGC117164,KIAA0466,IgSF3,LCDD,EWI3
ALOX15	15-LOX-1,12/15-Lipoxygenase,12-LOX,15-LOX,LOG15,15-Lipooxygenase-1
LMTK3	TYKLM3,KIAA1883,PPP1R101,LMR3
OASL2P	--
OASL	P59OASL,TRIP14,OASL1,2'-5'-OAS-RP,TRIP-14,P59-OASL,OASLd
MBD3L4	--
CGB3	CGB,CG-Beta,CGB5,CGB7,CGB8,HCGB,LHB
PELP1	MNAR,P160,HMX3
HRNR	S100a18,S100A16,FLG3,S100A18
KDM1A	LSD1,KIAA0601,BHC110,AOF2,KDM1,CPRF
MIER2	KIAA1193,Mi-Er2
MRGPRX3	MRGX3,SNSR1,SNSR2,GPCR
OR5AN1	OR11-244
PLEKHA8P1	PLEKHA9,FLJ14156,PLEKHA8,FAPP-2,HFAPP2,FAPP2
OR10D3	HTPCRX09,OR10D3P
ZNF266	HZF1,KIAA2007
ABCB6	MTABC3,Umat,EST45597,PRP,UMAT,ABC,LAN
OR51L1	OR11-31
OR8D4	OR11-275
RNU6-494P	--
OR4S2	OST725,OR4S2P,OR11-137
SRSF8	SRP46,SFRS2B,DSM-1
OR8H2	OR11-171
OR4D9	OR11-253
ANO6	TMEM16F,DKFZp313M0720,Anoctamin-6,BDPLT7,SCTS
PSMC3	TBP1,TBP-1,RPT5,DCIDP
ARRB2	BARR2,ARR2,Beta-Arrestin-2,DKFZp686L0365,ARB2
RNF225	--
RNU6-511P	--
HMGN1P7	--
STX19	Syntaxin-19,MGC21382
GLUL	GLNS,GS,PIG43,PIG59
DHFR2	DHFRL1,DHFRP4,FLJ16119
SMARCA4	BRG1,HSNF2b,BAF190,SNF2LB,SNF2L4,SNF2,SWI2,SNF2-BETA,SNF2-Beta,FLJ39786,BAF190A,MRD16,RTPS2,SNF2B,CSS4
NSUN3	FLJ22609,COXPD48,MSTP077,MST077
RBBP4P2	--
ARL13B	ARL2L1,JBTS8,DKFZp761H079
ATG9A	APG9L1,FLJ22169,MATG9,MGD3208
PRKG2	PRKGR2,CGKII,PKG2,CGK2
SHC1	SHC,ShcA,SHCA,P66
ADGRL3	LEC3,KIAA0768,LPHN3,Latrophilin-3,Lectomedin-3,CIRL-3,CIRL3,CL3
ASCL2	HASH2,BHLHa45,ASH2,BHLHA45,MASH2,ASH-2,Mash2
TMEM262	--
TCTN2	TECT2,C12orf38,JBTS24,MKS8,Tectonic-2,FLJ12975
OR52N5	OR52N5Q,OR11-62
OR56A4	OR11-49
MED11	HSPC296,MGC88387
OR52A5	OR11-33
OR8D1	OST004,OR8D3,PDJ9J14,JCG9
OR5B3	OST129,OR5B13,OR11-239
CXCL16	SR-PSOX,SRPSOX,CXCLG16,SCYB16
RPL35AP8	RPL35A_1_367
MAP6	STOP,KIAA1878,MAP6-N,FLJ41346,MAP-6,CTD-2530H12.7,N-STOP,MTAP6
VIPR1	VPAC1,VPAC1R,RDC1,HVR1,PACAP-R-2,PACAP-R2,VIP-R-1,VPCAP1R,VAPC1,V1RG,VIPR,VIRG,II
ZMYND15	DKFZp434N127,SPGF14
OR52A1	HPFH1OR
OR5A2	--
OR10G7	OR11-283
OR52N1	OR11-61
OR5B2	OST073,OR11-240
OR5M3	OR11-191
OR8B8	TPCR85
HMGA1P3	HMGIYL3,HMGA1L3
ARPC3	ARC21,P21-Arc,P21-ARC
STARD10	NY-CO-28,SDCCAG28,CGI-52,PCTP2,PCTP-L,StARD10
TM4SF5	--
ANKZF1	ZNF744,Vms1,FLJ10415
VMO1	ERGA6350,PRO21055
GLTPD2	--
PSMB6	Y,DELTA,LMPY
GPN3	ATPBD1C,MGC14560
C17orf114	--
PLD2	PLD1C,HPLD2
KIF25	KNSL3
VIPR1-AS1	NONHSAG034867.2,HSALNG0025430,VIPR1-AS1
CASP12	CASP12P1,CASP-12
METTL11B	C1orf184,HOMT1B,METTL11B,NTM1B,NRMT2
ELAVL4	PNEM,HUD,HuD
ZSCAN31	ZNF310P,ZNF323,ZNF20-Lp
RPL31P49	RPL31_26_1276
FAM216A	HSU79274,C12orf24
GLB1L	MGC10771
CASP4LP	CASP17P
SEC22C	SEC22L3,MGC13261,MGC5373
CASP4	ICH-2,ICE(Rel)II,TX,ICE(Rel)-II,Caspase-4,CASP-4,Mih1,ICEREL-II,Mih1/TX,ICH2
VPS29	PEP11,DC15,DC7,HVPS29
METTL24	C6orf186,DJ71D21.2
MAP7	E-MAP-115,Ensconsin,EMAP115,MAP-7
RAD9B	FLJ40346,HRAD9B
COA6	C1orf31,CEMCOX4,MC4DN13
CASP5	ICE(Rel)III,Caspase-5,ICE(Rel)-III,ICEREL-III,CASP-5,ICH-3,ICH3
MINK1	MAP4K6,MINK,YSK2,B55,ZC3
CORT	SST2,Prepro-Cortistatin,MGC32686,Preprocortistatin,Cortistatin-14,Cortistatin-17,Cortistatin-29,CST-14,CST-17,CST-29
STK16	PKL12,MPSK,TSF1,HPSK,MPSK1,TSF-1,KRCT,PSK
AHCTF1	ELYS,TMBS62,MSTP108,MST108
SS18L2	KIAA-Iso
C4orf47	LOC441054
NKTR	P104,Rotamase,PPIase
SGMS2	SMS2,MGC26963,CDL
CASP1	ICE,Caspase-1,IL1BC,P45,IL1B-Convertase,IL1BCE,CASP-1,IL-1BC
CNOT6L	DKFZp434K098,Ccr4b,CCR4b,CCR4B
TUBA4B	TUBA4,FLJ13940
PTPRN	ICA512,IA-2,R-PTP-N,IA-2/PTP,ICA3,IA2
PPTC7	TA-PP2C,TAPP2C
RN7SL387P	--
HVCN1	VSOP,MGC15619,Hv1,HV1
CCDC158	FLJ25770
RN7SL567P	--
KLHL40	SRYP,Sarcosynapsin,KBTBD5,NEM8,SYRP
P3R3URF	--
FRRS1	SDR2,SDFR2,SDR-2
PPP1CC	PP1C,PP1gamma,PP-1G,PPP1G
IL20RA	IL-20R1,IL-20R-Alpha,ZCYTOR7,IL-20RA,CRF2-8,ZcytoR7
HHATL	KIAA1173,MSTP002,MBOAT3,C3orf3,OACT3,GUP1
RNU6-145P	--
MIR4450	Hsa-Mir-4450,MIMAT0018971,MI0016795,Mir-4450
MIR548AH	Hsa-Mir-548ah,MIMAT0020957,MIMAT0018972,MI0016796
LRRC7	Densin-180,KIAA1365,DENSIN,Densin,LAP1
CASP1P2	--
CARD17	INCA
CASP1P1	--
SGK1	SGK
OR2AL1P	--
CARD16	COP1,COP,PSEUDO-ICE,LLID-114769,Pseudo-ICE
RPL29P25	RPL29_15_1277
HHATL-AS1	NONHSAG034877.2,HSALNG0025447,HHATL-AS1
CCDC13	FLJ25467
TCTN1	TECT1,JBTS13,Tectonic-1,FLJ21127
ATP6V0CP1	ATCD1
RN7SL784P	--
CHRNE	ACHRE,CMS1D,CMS1E,CMS2A,CMS4A,CMS4B,CMS4C,FCCMS,SCCMS
SCGB2B2	SCGB4A2,SCGBL,Secretoglobin-Like
C19orf12	NBIA4,MPAN,DKFZP762D096,MGC10922,SPG43,NBIA3
C17orf107	--
CCDC13-AS1	NONHSAG034879.2,HSALNG0025449
GP1BA	GPIbalpha,CD42b,GPIbA,GP1B,CD42b-Alpha,GPIb-Alpha,BDPLT1,BDPLT3,DBPLT3,CD42B,VWDP,BSS
MIR153-1	Hsa-Mir-153-1,MIRN153-1,Hsa-Mir-153-P1,Hsa-MiR-153-3p,MIMAT0000439,Mir-153-1,MI0000463,RF00650
LINC02158	NONHSAG034880.2,HSALNG0025450,LINC02158
IRGQ	FKSG27,IRGQ1
HIGD1A	HIG1,DKFZP564K247,RCF1A,RCF1a
RESP18	--
MIR5010	Hsa-Mir-5010,Hsa-MiR-5010-3p,MIMAT0021044,MIMAT0021043,MI0017878,Mir-5010
PTP4A2P1	H-PRL-1,PTP4AP1
NAGLU	NAG,Alpha-N-Acetylglucosaminidase,MPS-IIIB,UFHSD1,CMT2V,MPS3B,UFHSD
ZNF738	--
F13B	FXIIIB,TGase
NHEJ1	XLF,Cernunnos,FLJ12610
CGB7	CG-Beta-A,CGB6
SLC1A6	EAAT4
LEPR	OBR,CD295,HuB219,LEP-R,OB-R,LEPRD,DB
HSD17B1P1	SDR28C1P1,HSD17BP1,EDH17B1,EDHB17,HSD17
HSD17B1-AS1	NONHSAG021830.2,Lnc-PSMC3IP-3,HSALNG0116536
ACKR2	CCR10,D6,CMKBR9,CCBP2,CCR9,HD6
HSD17B1	SDR28C1,EDH17B2,EDHB17,HSD17,20-Alpha-HSD,MGC138140,E2DH,17-Beta-HSD,EDH17B1,E17KSR
CYP8B1	CYP12,CYPVIIIB1,CP8B
HNRNPA1P22	--
ZBTB47	KIAA1190,ZNF651,DKFZp434N0615
ECRG4	Augurin,C2orf40
COASY	NBP,DPCK,PPAT,POV-2,NBIA6,PCH12,UKR1
UXS1	UGD,SDR6E1,FLJ23591,UXS-1
IQCF1	MGC39725
IQCF4P	IQCF4
IQCF3	--
IQCF2	--
MYO9B	CELIAC4,MYR5,Myosin-IXb
PSMC3IP	TBPIP,HUMGT198A,GT198,Hop2,HOP2,DBD-Interacting,ODG3
RN7SL504P	--
IQCF5-AS1	NONHSAG035148.2
IQCF5	--
PBX1	CAKUHED,PRL
PARP3	PADPRT-3,ADPRT3,ARTD3,IRT1,HPARP-3,ADPRTL3,ADPRT-3,ADPRTL2,PARP-3
TATDN2	KIAA0218
RPL22P10	RPL22_3_253
SRSF3P4	--
MED15P9	CCDC74B-AS1,MED15P2
CCDC74B	DKFZp434E2321
PSMD4	AF,Rpn10,AF-1,S5A,MCB1,ASF,Angiocidin,PUB-R5
MIR885	Hsa-Mir-885,Hsa-MiR-885-5p,Hsa-MiR-885-3p,MIRN885,MIMAT0004947,MIMAT0004948,MI0005560,Mir-885,RF01015
LINC01988	NONHSAG034909.2,HSALNG0025546,LINC01988
TUBA1A	TUBA3,B-ALPHA-1,FLJ25113,Hum-A-Tub1,Hum-A-Tub2,LIS3
POM121L2	POM121-L,POM121L
RETREG3	FAM134C,DKFZp686B1036,FLJ33806
TUBA1C	Bcm948,TUBA6,MGC14580,MGC10851
DST	BP240,BPA,KIAA0728,CATX-15,MACF2,BPAG1,FLJ21489,FLJ13425,FLJ32235,FLJ30627,DMH,DT,Trabeculin-Beta,D6S1101,CATX15,EBSB2,HSAN6,BP230
MZT2B	MOZART2B,FAM128B,FLJ14346
TAGLN2	KIAA0120,HA1756,Transgelin-2
PRPH	PRPH1,NEF4
ATP5MGP7	ATP5LP7
HMGB3P27	--
ZSCAN5A	ZNF495,ZSCAN5,MGC4161
TUBG2	Gamma-2-Tubulin
TUBA3E	--
PEA15	PED,PED-PEA15,PED/PEA15,HUMMAT1H,PEA-15,HMAT1,MAT1H,MAT1
RHOQP3	--
NOC2LP1	--
PLEKHH3	FLJ21019
DUSP28	DUSP26,VHP
CD84	SLAMF5,HCD84,MCD84,Hly9-Beta,LY9B
KRT18P52	--
AK2P2	--
DPY30	HDPY-30,Saf19,Cps25,Dpy-30L
KCTD15	MGC25497
TROAP	TASTIN,Tastin
SLC30A6-DT	NONHSAG027416.2,HSALNG0014059,Lnc-NLRC4-3
H6PD	H6PDH,GDH,6-Phosphogluconolactonase,CORTRD1,G6PDH
SLC30A6	ZNT6,FLJ31101,MSTP103,MST103,ZnT-6
FOXD2	FREAC9,FKHL17,FREAC-9
RBM8A	BOV-1A,BOV-1B,BOV-1C,RBM8B,ZNRP,RBM8,Y14,BOV-1,C1DELq21.1,DEL1q21.1,MDS014,ZRNP1,TAR
ZNF567	MGC45586
NPEPPS	PSA,MP100,AAP-S
ZNF582	FLJ30927
DDOST	OST48,KIAA0115,WBP1,OST,GATD6,OKSWcl45,AGER1,CDG1R
DDX50P1	RH-II/GuBp1
RNU6-647P	--
NLRC4	CLAN1,CLAN,CLR2.1,CARD12,CLANA,CLANB,CLANC,CLAND,Ipaf,IPAF,AIFEC,FCAS4
ZNF439	DKFZp571K0837
NBL1	DAND1,DAN,D1S1733E,NO3,NB
SCN10A	PN3,Nav1.8,HPN3,SNS,FEPS2
SCN1A	NAC1,Nav1.1,GEFSP2,HBSCI,SMEI,SCN1,FEB3,DEE6A,DEE6B,EIEE6,FEB3A,DEE6,DRVT,FHM3
C1QL4	CTRP11,C1QTNF11
DNAJC22	Wus,FLJ13236
PRG4	SZP,MSF,Lubricin,JCAP,HAPO,BG174L6.2,FLJ32635,CACP,Hemangiopoietin
MIR6762	Hsa-Mir-6762,MIMAT0027424,MIMAT0027425,MI0022607
PLBD2	P76
CAPN7	PalBH,Calpain-7,PALBH,CALPAIN7
ZFP30	ZNF745,KIAA0961,Zfp-30
VPS72	YL1,TCFL1,YL-1,Swc2,CFL1
SDS	SDH,TDH
ZNF559-ZNF177	--
SDSL	SDS-RS1,CSDH,TDH
ST3GAL3	SIAT6,ST3GalIII,MRT12,ST3N,ST3GALII,EIEE15,DEE15
C19orf47	FLJ36888
LHX5	--
SH3BP5-AS1	NONHSAG034519.2,HSALNG0024394
SH3BP5	SH3BP-5,Sab,SAB
LHX5-AS1	Locus4010,NONHSAG012365.2,HSALNG0094159,LHX5-AS1
SLC8B1	NCKX6,NCLX,SLC24A6,FLJ22233
HMBS	PBGD,UPS,PBG-D,PORC
RPL7P13	RPL7_4_218
NRXN1	KIAA0578,Hs.22998,Neurexin-1,Neurexin-1-Alpha,Neurexin-1-Beta,PTHSL2,SCZD17
LINC01973	NONHSAG022864.2,HSALNG0118967,LINC01973
RNU1-80P	--
TNRC6C	KIAA1582,FLJ20015
RNU6-454P	--
HMGN2P7	HMGN2L7
RAB5B	--
METTL6	MGC24132
ZNF226	--
UBE2V2P2	--
RNU6-625P	--
TMC6	EVIN1,LAK-4P,EVER1,TNRC6C-AS1,EV1,Lnc
EAF1	--
RNU6-1024P	--
EAF1-AS1	NONHSAG034527.2,HSALNG0024414,EAF1-AS1
SUOX	--
COLQ	EAD,CMS5
ZNF841	LOC284371
KLK12	KLK-L5,Kallikrein-12,KLKL5
IKZF4	ZNFN1A4,Eos,KIAA1782,EOS
ZNF544	AF020591
TMC8	EVIN2,EVER2,EV2
MIR4270	Hsa-Mir-4270,MIMAT0016900,MI0015878
RN7SL110P	--
HACL1	2-HPCL,PHYH2,HPCL,HPCL2,1600020H07Rik
RPS26	ES26,S26,DBA10
MTCO1P42	--
ZNF233	FLJ38032
MIR8485	Hsa-Mir-8485,MIMAT0033692,MI0027288
RNA5SP111	RN5S111
SLC38A11	AVT2,FLJ39822
ZNF534	KRBO3,FLJ25344
PA2G4	HG4-1,EBP1,P38-2G4
C17orf99	GLPG464,UNQ464,Interleukin-40,IL-40,IL40
H2AX	H2AFX,H2A.X,H2A/X,H2a/X
C2CD2L	KIAA0285,TMEM24,C2CD2-Like,DLNB23
ZNF836	FLJ16287
EIF5AP2	--
TK1	TK2
TNPO2	KPNB2B,IPO3,TRN2,Transportin-2,FLJ12155
SCN3A	Nav1.3,NAC3,KIAA1356,EIEE62,FFEVF4,DEE62
AFMID	KF,DKFZp686F03259,KFase,FKF,KFA
RPL41	L41,HG12
ESYT1	MBC2,KIAA0747,FAM62A,E-Syt1
HINFP	HiNF-P,ZNF743,MIZF,DKFZP434F162
BIRC5	EPR-1,API4,Survivin,IAP4
SYNE1	Nesprin-1,Enaptin,MYNE1,KIAA0796,DJ45H2.2,C6orf98,SCAR8,ARCA1,Nesp1,CPG2,8B,SYNE-1B,KASH1,KIAA1262,KIAA1756,Myne-1,Syne-1,EDMD4,AMC3,AMCM
ABCG4	WHITE2
BTD	Biotinase
GATAD2A	P66alpha,Hp66alpha
ZC3H10	ZC3HDC10,FLJ14451
TMEM235	ARGM1
NLRX1	CLR11.3,NOD9,NOD26,NOD5,DLNB26
MYL6B	MLC1SA,MLC1sa
THA1P	GLY1
ZNF320	ZFPL,DKFZp686G16228
MAPRE1P3	--
MIR3134	Hsa-Mir-3134,MIMAT0015000,MI0014155
RNU7-9P	U7.9
LINC01993	NONHSAG022885.2,LINC01993
RN7SL4P	7L28,RN7SL427P,RN7SLP1
SEMA3B-AS1	NONHSAG035117.2,HSALNG0026010,SEMA3B-AS1
RNU6-613P	--
KRBA2	--
FBXO36	Fbx36,FLJ37592,FBX36
SEMA3B	LUCA-1,SemaV,SEMAA,SemA,Semaphorin-3B,Semaphorin-V,Sema5,SEMA5
CAVIN1	Cavin-1,CGL4,PTRF,FKSG13,CAVIN
RNU7-97P	--
MIR548AT	Hsa-Mir-548at,Hsa-MiR-548at-3p,Hsa-MiR-548at-5p,MIMAT0022277,MIMAT0022278,MI0019137
RNU6-964P	--
FBXO36-IT1	NONHSAG030721.2,HSALNG0022840,FBXO36-IT1
RNU6-1027P	--
SLC16A14	MCT14,FLJ30794
SIGLECL1	C19orf75,SIGLEC23P,FLJ40235,SIGLECP7
STAT3	APRF,ADMIO1,ADMIO,HIES
RNY4P19	--
SCYGR9	KRTAP28p1,KRTAP28-9
SCYGR2	KRTAP28-2
MYL6	MLC3NM,MLC1SM,ESMLC,MLC-3,LC17,LC17-GI,LC17-NM,MLC3SM,LC17A,LC17B
SCYGR10	KRTAP28p2,KRTAP28-10
SCYGR3	KRTAP28-3
ZNF761	KIAA2033,FLJ16231,FLJ35333,ZNF468
SCYGR4	KRTAP28-4
NRTN	NTN,Prepro-Neurturin
SCYGR5	KRTAP28-5
SLC19A3	THTR2,ThTr-2,THMD2,ThTr2,BBGD
ZNF383	Zfp383,FLJ35863,HSD17
ZNF224	BMZF-2,KOX22,ZNF255,ZNF27,ZNF233,BMZF2
PDZD3	IKEPP,PDZK2,NaPi-Cap2,FLJ22756,NHERF-4,NHERF4
SCYGR6	KRTAP28-6
ZNF551	DKFZp686H1038,KOX23
SCYGR7	KRTAP28-7
SCYGR8	KRTAP28-8
RNA5SP121	RN5S121
SNRPGP8	--
MIR6872	Hsa-Mir-6872,MIMAT0027645,MIMAT0027644,MI0022719
LSMEM2	C3orf45,FLJ38608
CCL20	LARC,MIP-3a,SCYA20,ST38,CKb4,MIP-3-Alpha,Exodus-1,MIP3A,Exodus
ZNF154	PHZ-92,KIAA2003
ZNF671	FLJ23506
HYAL3	LUCA-3,Hyaluronidase-3,Minna14,LUCA14,LUCA3,Hyaluronoglucosaminidase-3,HYAL-3,Hyal-3,LuCa-3
TDGF1P2	CRIPTO-2,CR-2,TDGF2
ZNF776	FLJ38288
DAW1	ODA16,WDR69,FLJ25955
ZSCAN4	ZNF494,FLJ35105
NAA80	FUS2,NAT6,HsNAAA80,FUS-2
CCDC153	LOC283152
SMARCC2	BAF170,CRACC2,Rsc8,CSS8
MANEA	Mandaselin,Endomannosidase,FLJ12838,HEndo,ENDO
CBL	RNF55,CBL2,C-Cbl,FRA11B,C-CBL,NSLL
RN7SKP222	--
GLI2	THP2,HPE9,THP1,PHS2,CJS,THP
FGF12-AS1	NONHSAG036988.2,HSALNG0031620,FGF12-AS1
FGF12-AS2	NONHSAG036989.2,HSALNG0031623,Lnc-HRASLS-2
FGF12-AS3	NONHSAG036990.2,HSALNG0031623,Lnc-HRASLS-2
RNU1-20P	--
MRPS22	MRP-S22,C3orf5,GK002,GIBT,RPMS22,S22mt,COXPD5,ODG7
KRT18P64	--
LINC02535	NONHSAG044270.2,HSALNG0051680,HSALNG0051682,LINC02535
DUTP5	--
TPT1P6	--
ZNF888	CTD-2331H12.6
NT5E	CALJA,CD73,ENT,NT5,EN,Ecto-5'-Nucleotidase,5'-Nucleotidase,5'-NT,NTE,E5NT,NT
ZNF816-ZNF321P	ZNF816-ZNF321
ZNF321P	ZNF321,MGC35402
ZNF816	ZNF816A
RNU6-262P	--
SP140	LYSP100-B,LYSP100-A,LYSP100,LYSp100
MCAM	MUC18,MelCAM,METCAM,HEMCAM,CD146,Gicerin
ZNF347	ZNF1111,CTD-2620I22.7
ZNF665	ZFP160L,FLJ14345
DNAJB11	ERdj3,EDJ,HEDJ,ABBP-2,ERj3p,PRO1080,UNQ537,ABBP2,HDj-9,Dj-9,ERj3,PKD6,ERJ3,HDJ9,DJ9
NDUFV2P1	--
ZNF677	MGC48625
NMBR	BB1R,BB1,NMB-R,BRS1
PGBD1	DJ874C20.4,HUCEP-4,SCAND4
VN1R2	V1RL2,HGPCR25
VN1R4	V1RL4,HGPCR27,CTD-2245F17.9
TSEN2	SEN2,SEN2L,MGC2776,HsSen2,PCH2B
FAM90A27P	--
BIRC8	ILP-2,RNF136,HILP2,ILP2
ZNF160	HKr18,KIAA1611,HZF5,KR18,F11,FLJ00032
MIR6756	Hsa-Mir-6756,MIMAT0027413,MIMAT0027412,MI0022601
GRK2	BARK1,ADRBK1,Beta-ARK-1,BETA-ARK1,BARK
PLXNB1	SEP,KIAA0407,PLXN5,Plexin-B1,PLEXIN-B1
RNF41	NRDP1,SBBI03,FLRF
ANKRD13D	--
ZEB2	SIP1,KIAA0569,ZFHX1B,SIP-1,SMADIP1,HSPC082,ZFX1B
NABP2	SOSS-B1,HSSB1,SSB1,OBFC2B,MGC2731,LP3587
MMS22L	DJ39B17.2,C6orf167
SSH3	FLJ20515,FLJ10928,HSSH-3L,SSH-3L,SSH3L
RAB5C-AS1	NONHSAG021812.2,HSALNG0116490,Lnc-HSPB9-2
KCNH4	Kv12.3,Elk1,BEC2,ELK1
SLC39A5	ZIP5,LZT-Hs7,MYP24,ZIP-5
HCRT	PPOX,OX,Orexin,Prepro-Orexin,Hypocretin,NRCLP1,PPORX,Hcrt
GHDC	LGP1,D11LGP1E,D11LGP1
BTN1A1	BT,BTN1,BTN
ANKRD52	PP6-ARS-C,FLJ34236,CVWG5837,ANKRD33
AK9	DJ70A9.1,C6orf199,C6orf224,AKD1,AKD2,FLJ42177,FLJ25791,MGC26954
CCDC51	FLJ12436,MITOK
STAT5B	GHISID2,STAT5
RAD9A	HRAD9,RAD9
COQ10A	FLJ32452
TMA7	HSPC016,CCDC72
TREX1	DRN3,AGS1,HERNS,RVCLS,CRV
H3C6	HIST1H3E,H3/D,H3.1,H3FD,HIST1H3A,HIST1H3B,HIST1H3D,HIST1H3F,HIST1H3G,HIST1H3H,HIST1H3I,HIST1H3J,H3C10,H3C11,H3C12,H3C1,H3C2,H3C3,H3C4,H3C7,H3C8,H3FA,H3FL,H3FB,H3FI,H3FH,H3FK,H3FF,H3FJ
TAAR1	TAR1,TA1,TRAR1,TaR-1
PFKFB4	--
MIR6752	Hsa-Mir-6752,MIMAT0027404,MIMAT0027405,MI0022597
CS	--
PITPNM1	DRES9,NIR2,RDGBA1,PITPNM,RDGB1,RDGB,Rd9,NIR-2,RDGBA
SPECC1-DT	NONHSAG021146.2,HSALNG0115179,Lnc-AKAP10-1
